longitude,latitude
119.82337761841832,-2.1882984253210296
120.18660430916026,-2.4983317458723753
119.8292605449595,-2.0785048394990966
121.5750211074518,-2.541778453166025
119.97743716324692,-2.0758576921418364
119.84817559874506,-2.4928766151524044
120.33209450640017,-2.344649826009906
120.20435825039738,-3.2356538040957314
121.55695934801383,-2.54531641360249
121.34779389811824,-2.7735177339542196
120.05076161309043,-2.3879124912540344
119.99574926961516,-2.681715738221594
119.93229602173189,-2.7500802114227816
121.13536945110665,-2.4204170661658577
119.9041036528516,-2.7432105812113474
121.43551622147353,-2.4309842880913055
120.39813980923076,-2.3243672026734297
120.00432657640975,-2.8996689041443657
119.7814058937737,-2.5304043524593753
121.66134274782536,-2.643435375567709
120.4682566507392,-2.5272000367221494
119.83289823007846,-2.4583244205299395
119.88415797341318,-2.4338689976828034
120.24116126342423,-3.3534938552223568
120.4327459809017,-2.2913799430154906
120.36466911012208,-2.0180034653808216
119.85091452067073,-2.0690021686538516
120.31993992198792,-2.0805430821796818
121.68375831163966,-2.646953371941163
121.08219276194741,-2.3322327031831356
119.93761350584735,-2.318910121052029
119.81047355188215,-2.4265214676424813
119.78551587728721,-2.212206208699004
121.30928555959606,-2.6749354069308717
119.88295901646,-2.5181402883169963
121.24195216901116,-2.630973283636184
120.24581361732575,-2.1284207860598725
121.72446053671126,-2.7358633070968486
120.61181021177114,-2.554676740537701
120.61425880397583,-2.567826175552383
120.23102929625725,-3.3345945844365485
121.13879437884017,-2.715026642187908
120.29750750488958,-2.225444405753858
120.44221211867541,-2.230856240644375
121.69097705490498,-2.589002690401007
120.1231957483778,-2.4777150843571207
119.87428806378303,-2.4785081668241187
120.75325187312505,-2.297824240976073
121.52524435999217,-2.9483284720491314
120.73954700145576,-2.277780694860256
120.48645877306143,-2.5647207586292193
119.94587351126751,-2.0262143806336033
119.92906743963148,-2.532815818516752
119.99585428594438,-3.1749516702859486
120.71714120196236,-2.4430538502246395
119.71323852879901,-2.2521518255368114
120.02994847034135,-3.2976038230305216
120.6285168285494,-2.342172562338688
120.08759906975627,-3.0879813368723346
119.88693291541064,-2.090258959919256
121.335638182452,-2.780988567273183
120.89713882403586,-2.345044563903964
120.3975224567195,-1.9191201027380453
120.16318436076567,-3.3834558112556303
120.0339775764489,-3.163308008079639
120.00283835715209,-2.0789806224250595
119.9983011821114,-2.483426035559547
119.8772937597404,-2.586576603933254
119.96335114539802,-2.815937956861466
120.32525052560806,-2.2323302725612724
120.17937491393302,-2.4602056206715117
121.27251424876363,-2.6091457539656733
120.3821043014159,-2.020143680303879
119.89729438643873,-2.373325770312492
119.77223660170557,-2.355402309417253
119.93052947430121,-2.259074171211387
120.06722256740645,-3.378492400201866
119.98342861190761,-2.2247353318556673
120.40383341071542,-2.1128344389217264
120.47673071592239,-2.220060485145042
121.24582858716687,-2.7737430627245625
120.13004373727019,-2.073752202622644
121.58814712813502,-2.557416514599022
119.92945192837018,-2.2612786492098214
120.16581726012811,-2.3495497895443553
120.36785070601746,-2.21205930102368
119.867333223374,-2.1684447433491325
120.12430541789945,-2.3880999776744716
121.18543474473105,-2.528863476443608
120.17480964607746,-3.0554643755298003
120.02058130579226,-2.0582304126305497
119.96070793307285,-2.6296261787417325
