longitude,latitude,NAME_2,NAME_3,elevasi_m,slope_derajat,source
120.01512018441161,-2.895021331250209,Luwu,Walenrang Barat,1189,33.0927619934082,S2_scar
120.08378921133544,-3.229520398085152,Luwu,Bassesangtempe,653,24.252281188964844,S2_scar
120.10641530334651,-3.3273064393214393,Luwu,Latimojong,1081,26.75601577758789,S2_scar
120.25359917387493,-3.3109793597851414,Luwu,Bupon,80,20.09218978881836,S2_scar
120.34369027274478,-3.3565040441654226,Luwu,Bajo,108,30.420242309570312,S2_scar
120.11972000273151,-3.4079200053541077,Luwu,Latimojong,1155,27.27812957763672,S2_scar
120.29094973755726,-3.4361853813186984,Luwu,Suli Barat,133,12.822819709777832,S2_scar
120.27962974127263,-3.4318414501280454,Luwu,Suli Barat,140,24.642690658569336,S2_scar
120.18118405028733,-3.1475936643738684,Luwu,Bua,538,20.715396881103516,S2_scar
120.11022508965705,-2.698343248092202,Luwu,Walenrang Utara,416,26.10209846496582,S2_scar
120.2649966278468,-3.411436818078299,Luwu,Suli Barat,180,15.638282775878906,S2_scar
120.09768782008744,-2.9173685153601374,Luwu,Walenrang,318,32.568756103515625,S2_scar
120.09947672792116,-2.677982383030338,Luwu,Walenrang Utara,828,24.858713150024414,S2_scar
120.32479913877644,-3.5827590390162425,Luwu,Larompong,196,11.653209686279297,S2_scar
120.06975760098415,-3.2016878202761023,Luwu,Bassesangtempe,592,40.068115234375,S2_scar
120.2150639929512,-3.134737080047976,Luwu,Bua,237,20.858875274658203,S2_scar
120.13232912202173,-3.102185692402428,Luwu,Bassesangtempe,436,23.66643524169922,S2_scar
120.19631319168899,-3.134602744601276,Luwu,Bua,246,10.261628150939941,S2_scar
120.11765475674639,-3.1334269828235732,Luwu,Bassesangtempe,1230,19.08936309814453,S2_scar
120.07231457542727,-3.1348223671501825,Luwu,Bassesangtempe,654,19.308244705200195,S2_scar
120.24997841980007,-2.4274923418517846,Luwu Utara,Masamba,1210,22.828073501586914,S2_scar
120.20223180696857,-2.355291908151566,Luwu Utara,Masamba,2024,20.003707885742188,S2_scar
119.89431378642787,-2.3067052479588295,Luwu Utara,Seko,1171,14.116674423217773,S2_scar
120.19476285011739,-2.3684963193881474,Luwu Utara,Masamba,1791,21.574867248535156,S2_scar
120.30570977585667,-2.4465734716005096,Luwu Utara,Masamba,913,27.41729736328125,S2_scar
120.00639308406687,-2.518623008366984,Luwu Utara,Limbong,1033,30.35043716430664,S2_scar
120.4859791543659,-2.5217280558853647,Luwu Utara,Sukamaju,338,29.47301483154297,S2_scar
120.12017987553854,-2.211493550190815,Luwu Utara,Rampi,2194,23.035051345825195,S2_scar
120.24744655277728,-2.458812797542514,Luwu Utara,Masamba,894,19.305068969726562,S2_scar
119.93575707877238,-2.504439696099981,Luwu Utara,Limbong,2052,32.96355056762695,S2_scar
119.94755977489898,-2.49540071097168,Luwu Utara,Limbong,2119,11.068944931030273,S2_scar
120.10516892517266,-2.413141765624886,Luwu Utara,Seko,1661,30.39946746826172,S2_scar
119.89612708543764,-2.4941858311331346,Luwu Utara,Limbong,2071,30.846294403076172,S2_scar
120.04861027432939,-2.400252918367442,Luwu Utara,Seko,1669,29.71574592590332,S2_scar
119.65184315492218,-2.2703071219238424,Luwu Utara,Seko,1566,31.917255401611328,S2_scar
120.01498716897348,-2.0776355546514673,Luwu Utara,Seko,1963,13.852208137512207,S2_scar
120.54147546281273,-2.5357749694983776,Luwu Utara,Bone-Bone,955,31.84173011779785,S2_scar
120.0982594417949,-2.0531534173861403,Luwu Utara,Seko,2383,11.323111534118652,S2_scar
120.03040002550331,-2.686170263301024,Luwu Utara,Sabbang,1219,25.91527557373047,S2_scar
119.88724974518708,-2.555685872410148,Luwu Utara,Limbong,1863,10.693252563476562,S2_scar
120.05957682814818,-1.9962212776832322,Luwu Utara,Seko,2165,27.938989639282227,S2_scar
119.94758855356699,-2.525335505021348,Luwu Utara,Limbong,1984,14.632293701171875,S2_scar
120.21163092820944,-2.5707743862333556,Luwu Utara,Sabbang,103,10.383461952209473,S2_scar
