longitude,latitude,NAME_2,NAME_3,elevasi,slope,aspect,twi,curah_hujan,ndvi,jarak_sungai_km,elevasi_rendah,lereng_curam,vegetasi_jarang,label_longsor,source
120.04852969537535,-2.4001195968400992,,,1669,29.71574592590332,263.4858703613281,15.401200073004848,3035.8479088483377,0.804015576839447,0.077224126978039,0,1,0,1,
120.34120081494149,-3.3201741108353175,,,63,21.37079620361328,24.480236053466797,13.213714800936456,3062.488330620248,0.8350223898887634,0.5707748286058963,1,0,0,1,
120.17815659087381,-2.887096312361294,,,22,2.075134038925171,116.53594970703125,16.691830233390966,3537.5950529997235,0.6933693289756775,1.0287413608783806,1,0,0,0,pseudo_absence
120.1797735583852,-2.790617250846857,,,22,4.987170696258545,68.2220230102539,14.714282376417092,3908.0886011148805,0.3526265621185303,0.1300125144431313,1,0,1,0,pseudo_absence
120.11967626587762,-3.4080293456222037,,,1155,27.27812957763672,43.77762985229492,14.324065453252624,2601.8970715753735,0.6443194150924683,0.6461088645193024,0,1,1,1,
120.03882789030689,-3.1606333163756872,,,548,17.72565460205078,59.57255554199219,14.514644641510747,3021.515350826457,0.8432601690292358,0.6995965278411022,0,0,0,1,
120.82763854129223,-2.459947394762459,,,35,4.630087852478027,306.84454345703125,16.73483528981743,3951.738678676792,0.4544000029563904,0.866664688468443,1,0,1,0,pseudo_absence
120.15498005654354,-2.88197591524181,,,30,4.631102561950684,53.16490173339844,14.788705052095969,3537.5950529997235,0.7977727055549622,0.3697432457647238,1,0,0,0,pseudo_absence
120.23582843211426,-3.3878172517295155,,,181,17.903181076049805,287.496826171875,17.14306411724755,3063.401688636467,0.8647125959396362,0.05564405280947446,1,0,0,1,
119.99651724042485,-3.249566529503518,,,2022,50.532867431640625,358.4700012207031,13.467402978259884,2724.0708045046777,0.10580803453922272,1.4554852717459161,0,1,1,1,
