NAME_3,shap_elevasi,shap_slope,shap_aspect,shap_curah_hujan,shap_ndvi,shap_jarak_sungai_km,val_elevasi,val_slope,val_aspect,val_curah_hujan,val_ndvi,val_jarak_sungai_km
Malili,0.0014763971137368756,-0.03840875109190115,-0.040034225467109504,0.009655211143091926,0.42846474276949165,0.013374319050754953,788.386221001197,18.001378154506146,195.34251684927315,3481.1352749574885,0.504846990914122,0.6752195252421332
Mangkutana,-0.002312778404118734,0.008493283002995147,-0.035356999106025494,0.015531713359053217,0.4355577400507409,0.015488277087555909,1187.6408703115683,18.63598041259434,134.31863339752664,3390.466168963216,0.5544524192573688,0.6895160689419898
Nuha,0.005110065435363812,0.039702730844894625,-0.03827202161927971,0.007433150912204189,0.40819394424866895,0.013301037525793648,939.5307196337067,24.42742465364875,175.67437444309792,3489.856525748477,0.4773431298611032,0.5261996119746037
Tomoni,0.004716999506541436,0.027586399810349414,-0.03546301103384134,0.012664048666738986,0.42661915341291123,0.01570347800764117,730.0,20.035971641540527,171.58718872070312,2805.4119823701913,0.6041381061077118,0.794306443856296
Towuti,0.0013391976995173946,-0.02528993364116856,-0.040555760630334704,0.002141874725572476,0.42497575867992005,0.013893080446962877,823.221529980754,18.35705525645328,190.7644082341696,3795.8047988888657,0.4873161253543117,0.7816149455667428
Wasuponda,0.00013007046544704552,0.03278993508099006,-0.059339760647785775,-0.001691788096005524,0.05878322540577205,0.013455566676398372,819.503842200928,20.11897754122162,160.7811182650188,3732.228864981341,0.42967182165848816,0.8806841604089487
Baebunta,0.001652966649475601,0.031545322099334666,0.08094770563425266,0.0027808805553456955,0.3352860989129644,0.014639929771023383,854.5101320706796,21.997814526323843,283.88384708919284,3264.211511999101,0.4804759676549779,1.11924173478801
Bone-Bone,0.01836806169008472,0.04579798284422935,-0.033793394909751646,0.02310040370904907,0.38072633056098565,0.011356114649303457,108.0,30.420242309570312,230.6475830078125,2984.0526404542848,0.8149909377098083,0.9965382743005328
Limbong,-0.006027859698763021,0.012639427147749769,-0.03941412095131288,0.008778526805181507,0.4268225083790522,0.016057376031536848,1421.5331379557967,18.80381586405697,149.88283622813742,3168.014590222786,0.4769149187350418,0.7953998261373859
Masamba,-0.0036058162494067405,0.032957280369550375,-0.0414463178349177,0.002877478615065109,0.41827373908261284,0.01737236819526893,1259.084484911955,22.068264831452353,189.1498971542024,3222.4953571463384,0.5043138686873574,0.7774406153092488
Rampi,-0.013485201311416353,-0.04882685555188767,-0.07353707411816082,-0.0024715495758718875,-0.34811482043598807,-0.0015339936524528515,1435.8761897492593,15.850948196471514,180.26673080112053,3158.967433060725,0.38767185484417543,0.7422506511680745
Sabbang,-0.005062856642961281,0.025929773519996892,-0.07629869114324773,-0.0016421373719178974,-0.3855086344366501,0.003725074185098692,857.8533452751154,25.088980651451685,202.44155386292962,3458.1259370778853,0.36941462026265576,0.6946516060017977
Seko,-0.005712447189370319,0.01094682337864743,-0.04784890136600581,0.025366028255565463,0.2517119996820749,0.013016046268966786,1440.1580932758006,19.350539504787594,190.73367891002925,2866.72713647189,0.43660520301065403,0.9405889064905865
Sukamaju,0.010483499009736679,0.026149623086473832,-0.03872418539099491,0.008375451926240333,0.41575777128237135,0.011550403413449125,292.0739178588161,21.387276163406103,232.69351147178315,3706.243141774918,0.545524907934448,0.5111707092043056
